exp,size,mean_time,std_time,mean_memory,std_memory
Bombardeiro,100000,3.281163239479065,0.17161149264940362,93.0226176,0.043855900882778756
Bombardeiro,10000,2.077719712257385,0.16361344040968348,43.008,0.1108344601430446
Bombardeiro,1000,0.07864830493927003,0.008957226230836226,7.822131199999999,0.027903953027483334
Bombardeiro,100,0.007091665267944336,0.0020388652373975985,6.404096,0.026179176335400588
Bombardeiro,10,0.00027806758880615233,0.00030917159503993465,6.3062016,0.04572868030284709
Transportador,100000,0.9955650091171264,0.09015356248405917,63.0407168,0.041196883019956484
Transportador,10000,0.09426605701446533,0.012656992343610557,11.5318784,0.050968462066654334
Transportador,1000,0.008091568946838379,0.00025824910708113736,6.6912256,0.017397154268442825
Transportador,100,0.0009182453155517578,0.00020619919134449738,6.2779392,0.047345578777326196
Transportador,10,0.0001825094223022461,7.422933782489154e-05,6.2418944,0.047958195769231916
Reconhecimento,100000,4.103585839271545,0.305441062731212,87.3472,0.1684148490175387
Reconhecimento,10000,0.4304253101348877,0.23200568060917298,13.787955199999999,0.02126766896864833
Reconhecimento,1000,0.0460512638092041,0.010934399021145796,6.994739200000001,0.018322447766605854
Reconhecimento,100,0.0024910688400268553,0.0007784589984048938,6.406144,0.01747413320310909
Reconhecimento,10,0.00036563873291015623,0.000119798880730559,6.3688704000000005,0.01968212177180077
Frigata,100000,6.1061114311218265,1.1610509741986752,86.06105600000001,0.03382611611166588
Frigata,10000,0.37725589275360105,0.016922692656211685,13.371801600000001,0.0399732667146434
Frigata,1000,0.02805144786834717,0.0036305482260711093,6.9255168,0.03376654556450802
Frigata,100,0.0022533655166625975,0.00015639244932075981,6.3320064,0.0376943287914774
Frigata,10,0.00039415359497070314,0.0003253691072568363,6.3475712,0.033529706890457686
