exp,size,mean_time,std_time,mean_memory,std_memory
Arestas,100000,0.4819692611694336,0.12081278719400013,20.8642048,0.365590888695219
Nós,100000,2.4290340662002565,0.12336720520339468,97.7846272,0.017261615108673387
Arestas,10000,0.08620429039001465,0.008806929949365208,10.167500800000001,0.029822143118159974
Nós,10000,0.2541297435760498,0.010023713770239908,15.375564800000001,0.021580906286807994
Arestas,1000,0.011824679374694825,0.0006544714202987692,6.8296704,0.040349238414621943
Nós,1000,0.026192140579223634,0.0022867492169351207,7.2232959999999995,0.03637146521106885
Arestas,100,0.001869368553161621,0.0006728475434249007,6.3537152,0.025434807822352454
Nós,100,0.0014811277389526368,0.00036469463277587997,6.3541248,0.0466674448514164
